Name,Items Available,days,Hours,Address,Contact,Notes,Website
Woodland Hispanic Foursquare Church,Groceries,2023-05-20,9:00 AM,"23 Grand Ave, Woodland, CA 95695, USA",(530) 662-5524,Please bring your own bags or cart,na
Arbuckle Family Action Center,Fruits and vegetables,"2023-05-03,2023-05-17",11:00am - 12:00pm,"812 King St, Arbuckle, CA 95912, USA",(530) 668-0690,Please bring your own bags or cart,na
Campers Inn RV Park,Fruits and vegetables,"2023-05-03,2023-05-17",4:00pm - 5:00pm,"2501 County Road 88, Dunnigan, CA 95937, USA",(530) 668-0690,Please bring your own bags or cart,na
Clarksburg Community Church,Fruits and vegetables,"2023-05-02,2023-05-16",12:00pm - 1:00pm,"52910 Netherlands Ave, Clarksburg, CA 95612, USA",(530) 668-0690,Please bring your own bags or cart,na
Clarksburg Firehouse,Canned and dry goods,2023-05-16,12:00pm - 1:00pm,"52902 Clarksburg Rd, Clarksburg, CA 95612, USA",(530) 668-0690,Client must meet income requirements. Please bring your own bags or cart,na
Davis Senior Center,Canned and dry goods,2023-05-17,11:15am - 11:45am,"646 A St, Davis, CA 95616, USA",(530) 668-0690,Client must meet income requirements. Please bring your own bags or cart,na
Davisville Apartments,Canned and dry goods,2023-05-17,10:30am - 11:30am,"1221 Kennedy Pl, Davis, CA 95616, USA",(530) 668-0690,Client must meet income requirements. Please bring your own bags or cart,na
Elks Lodge,Canned and dry goods,2023-05-24,10:00am - 10:30am,"500 Bush St, Woodland, CA 95695, USA",(530) 668-0690,Client must meet income requirements. Please bring your own bags or cart.,na
Empower Yolo,Fruits and vegetables,"2023-05-10,2023-05-24",9:00am,"441 D St, Davis, CA 95616, USA",(530) 668-0690,Please bring your own bags or cart.,na
Empower Yolo,Fruits and vegetables,"2023-05-11,2023-05-25",10:00am - 12:00pm,"9586 Mill St, Knights Landing, CA 95645, USA",(530) 668-0690,Please bring your own bags or cart.,na
Guinda Grange Hall,Fruits and vegetables,"2023-05-08,2023-05-22",10:00am - 11:00am,"16787 Forest Ave, Guinda, CA 95637, USA",(530) 668-0690,Please bring your own bags or cart.,na
Guinda Grange Hall,Canned and dry goods,2023-05-22,10:00am - 11:00am,"16787 Forest Ave, Guinda, CA 95637, USA",(530) 668-0690,Client must meet income requirements. Please bring your own bags or cart.,na
Dunnigan Firehouse,Canned and dry goods,2023-05-19,9:30am - 10:00am,"29145 Main Street, Dunnigan, CA, USA",(530) 668-0690,Client must meet income requirements. Please bring your own bags or cart.,na
Health Education Council,Fruits and vegetables,2023-05-05,"8:15am - Community walk, 8:45am - Food distribution","820 Cummins Way, West Sacramento, CA 95605, USA",(530) 668-0690,Please bring your own bags or cart. Distribution includes physical activity. Food distribution is located at Elk Horn Village Elementary (750 Cummins Way) in the cafeteria.,na
Knights Landing Community Center,Canned and dry goods,2023-05-19,10:15am - 10:45am,"42114 7th St, Knights Landing, CA 95645, USA",(530) 668-0690,Client must meet income requirements. Please bring your own bags or cart.,na
Montgomery Elementary School,Fruits and vegetables,2023-05-12,9:00am - 1:00pm,"1441 Danbury Ave, Music Room M-1, Davis, CA 95618, USA",(530) 668-0690,Check in at the front office. Please bring your own bags or cart.,na
Owendale Apartments,Canned and dry goods,2023-05-17,5:00pm - 6:00pm,"3023 Albany Ave, Davis, CA 95618, USA",(530) 668-0690,Client must meet income requirements. Please bring your own bags or cart.,na
"Rise, Inc.",Fruits and vegetables,"2023-05-04,2023-05-18",10:30am - 11:30am,"17317 Fremont St, Esparto, CA 95627, USA",(530) 668-0690,Please bring your own bags or cart.,na
"Rise, Inc.",Fruits and vegetables,"2023-05-04,2023-05-18",10:00am - 11:00am,"200 Baker St, Room 4 & 5, Winters, CA 95694, USA",(530) 668-0690,Please bring your own bags or cart.,na
Summertree Apartments,Canned and dry goods,2023-05-24,10:00am - 10:30am,"601 Community Ln, Woodland, CA 95695, USA",(530) 668-0690,Client must meet income requirements. Please bring your own bags or cart.,na
West Sacramento County Building,Fruits and vegetables,2023-05-03,9:00am - 10:00am,"500 A Jefferson Blvd, Community Room 1, West Sacramento, CA 95605, USA",(530) 668-0690,Please bring your own bags or cart.,na
West Sacramento County Building,Canned and dry goods,2023-05-16,10:00am - 10:30am,"500 Jefferson Blvd, West Sacramento, CA 95605, USA",(530) 668-0690,Client must meet income requirements. Please bring your own bags or cart.,na
West Sacramento Yolo Housing,Canned and dry goods,2023-05-16,12:00pm - 12:30pm,"685 Lighthouse Dr, West Sacramento, CA 95605, USA",(530) 668-0690,Client must meet income requirements. Please bring your own bags or cart.,na
Woodland Community and Senior Center,"Fruits and vegetables, baked goods","2023-05-02,2023-05-09,2023-05-16,2023-05-23,2023-05-30",9:30am - 10:00am,"2001 East St, Woodland, CA 95776, USA",(530) 668-0690,Please bring your own bags or cart.,na
Woodland Family Worship Center,"Free produce, dairy, groceries",2023-05-05,8:00 AM while supplies last,"386 W Beamer St, Woodland, CA 95695, USA",(530) 668-0690,Please bring your own bags or cart.,na
Yolo County Children’s Alliance,Fruits and vegetables,2023-05-12,10:30am - 12:00pm,"637 Todhunter Ave, Room 21B, West Sacramento, CA 95605, USA",(530) 668-0690,Please bring your own bags or cart.,na
